CNPJ,Nome,Nome_Curto,Codigo_CVM,Ticker
07.689.002/0001-89,EMBRAER S.A.,Embraer,20087,EMBR3
06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS SA,Pague Menos,22608,PGMN3
00.864.214/0001-06,ENERGISA SA,Energisa,15253,"ENGI3, ENGI4, ENGI11, ENGI12"
04.423.567/0001-21,ENEVA S.A.,Eneva,21237,ENEV3
02.474.103/0001-19,ENGIE BRASIL ENERGIA S.A.,Engie,17329,EGIE3
16.922.038/0001-51,ENJOEI S.A.,Enjoei,25259,ENJU3
03.220.438/0001-73,EQUATORIAL S.A.,Equatorial Energia,20010,EQTL3
61.092.037/0001-81,ETERNIT S.A.,Eternit,5762,ETER3
43.470.988/0001-65,EVEN CONSTRUTORA E INCORPORADORA S/A,Even,20524,EVEN3
08.312.229/0001-73,EZ TEC EMPREEND. E PARTICIPAÇÕES S/A,EZTEC,20770,EZTC3
22.266.175/0001-88,FERTILIZANTES HERINGER S.A.,Fertilizantes Heringer,20621,FHER3
60.840.055/0001-31,FLEURY SA,Fleury,21881,FLRY3
88.610.126/0001-29,FRASLE MOBILITY S.A.,Fras-le,6211,FRAS3
01.545.826/0001-07,GAFISA SA,Gafisa,16101,GFSA3
08.764.621/0001-53,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,General Shopping & Outlets,21008,GSHP3
33.611.500/0001-19,GERDAU S.A.,Gerdau,3980,"GGBR3, GGBR4"
06.164.253/0001-87,GOL LINHAS AEREAS INTELIGENTES SA,Gol Linhas Aereas Inteligentes Sa,19569,"GOLL3, GOLL4, GOLL11, GOLL12, GOLL13"
09.229.201/0001-30,GPS PARTICIPAÇÕES E EMPREENDIMENTOS S/A,GPS,25712,GGPS3
92.012.467/0001-70,GRAZZIOTIN SA,Grazziotin,4537,"CGRA3, CGRA4"
89.850.341/0001-60,GRENDENE SA,Grendene,19615,GRND3
33.041.260/0652-90,GRUPO CASAS BAHIA S.A.,Casas Bahia,6505,"BHIA12, BHIA3, VIIA3"
24.990.777/0001-09,GRUPO MATEUS S.A.,Grupo Mateus,25186,GMAT3
59.717.553/0001-02,GRUPO MULTI S.A.,Multilaser,26034,MLAS3
13.217.485/0001-11,GRUPO SBF S.A.,Grupo SBF,24694,SBFG3
31.553.627/0001-01,GRUPO TOKY S.A.,Grupo Toky,25461,MBLY3
08.402.943/0001-52,GUARARAPES CONFECÇÕES SA,Guararapes,4669,GUAR3
05.197.443/0001-38,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,Hapvida,24392,HAPV3
14.785.152/0001-51,HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.,HBR Realty,25402,HBRE3
49.263.189/0001-02,HELBOR EMPREENDIMENTOS S/A,Helbor,20877,HBOR3
