"Ticker","Nome","Negócios","Última (R$)","Variação"
"AZTE3","AZT Energia","2.112.500","0,38","+0,00%"
"KEPL3","Kepler Weber","2.104.400","9,77","+1,03%"
"BRAP4","Bradespar","2.075.300","22,40","+1,31%"
"KLBN4","Klabin","2.037.600","3,70","+0,00%"
"AMER3","Americanas","1.991.900","4,65","-1,06%"
"FLRY3","Fleury","1.982.000","15,64","+0,26%"
"ITUB3","Itaú Unibanco","1.955.700","36,75","-0,11%"
"ODPV3","Odontoprev","1.840.300","10,84","+0,56%"
"IFCM3","Infracommerce","1.776.300","0,83","+1,22%"
"POSI3","Positivo","1.573.400","3,96","+1,02%"
"TUPY3","Tupy","1.542.700","11,55","+1,85%"
"AXIA6","Axia Energia","1.525.900","54,67","+1,00%"
"DESK3","Desktop","1.525.900","18,08","+0,44%"
"TEND3","Construtora Tenda","1.522.400","23,69","+4,04%"
"CASH3","Méliuz","1.519.700","3,91","-1,01%"
"PSSA3","Porto Seguro","1.514.100","46,15","-0,15%"
"ENGI11","Energisa","1.494.200","47,40","+1,61%"
"INTB3","Intelbras","1.428.000","10,73","+0,09%"
"SBFG3","Grupo SBF","1.400.600","13,30","+3,34%"
"CAML3","Camil Alimentos","1.360.800","5,99","-1,32%"
"CPFE3","CPFL Energia","1.314.500","51,83","+1,53%"
"VULC3","Vulcabras","1.240.100","18,06","+0,89%"
"BPAN4","Banco Pan","1.228.000","11,89","+0,34%"
"OIBR3","Oi","1.222.900","0,16","+23,08%"
"TAEE11","Taesa","1.196.100","40,06","+0,53%"
"TTEN3","3tentos","1.160.500","15,70","+1,03%"
"SLCE3","SLC Agrícola","1.059.300","15,15","+0,66%"
"DASA3","Dasa","1.048.800","3,66","-1,35%"
"TOKY3","Toky","1.038.100","0,58","-9,38%"
"SAPR11","Sanepar","1.021.000","43,22","-0,87%"
"ALPA4","Alpargatas","956.700","12,61","-1,94%"
"ISAE4","ISA Energia","904.600","26,05","+0,19%"
"BRSR6","Banrisul","881.700","16,51","+1,16%"
"AZEV3","Azevedo & Travassos","870.900","0,34","-2,86%"
"TFCO4","Track & Field","846.600","14,70","-0,81%"
"DXCO3","Dexco","831.000","5,32","+0,38%"
"SAPR4","Sanepar","817.700","8,31","-0,95%"
"NEOE3","Neoenergia","803.500","32,09","+0,09%"
"USIM3","Usiminas","733.500","6,09","-4,09%"
"MILS3","Mills","709.600","13,82","+0,14%"
"MYPK3","Iochpe-Maxion","705.200","10,04","+0,40%"
"UNIP6","Unipar","682.100","57,17","-5,61%"
"ESPA3","Espaçolaser","680.200","0,82","-4,65%"
"HBOR3","Helbor","662.500","2,44","+0,41%"
"MDNE3","Moura Dubeux","646.900","24,15","+0,54%"
"EVEN3","Even","638.000","7,04","-0,85%"
"RCSL3","Recrusul","635.800","3,57","+1,42%"
"FESA4","Ferbasa","613.200","6,82","+0,00%"
"IRBR3","IRB Brasil RE","599.400","54,11","-0,35%"
"POMO3","Marcopolo","597.000","5,55","-0,18%"
"ARML3","Armac","589.500","4,23","+4,70%"
"MLAS3","Multilaser","567.100","1,32","-2,22%"
"SOJA3","Boa Safra Sementes","553.200","8,45","-0,12%"
"ALUP11","Alupar","540.200","33,34","+1,93%"
"JALL3","Jalles Machado","522.700","2,83","-1,05%"
"SYNE3","SYN","482.500","4,73","-0,63%"
"SHUL4","Schulz","473.200","4,95","-2,37%"
"BLAU3","Blau Farmacêutica","465.600","8,80","+0,34%"
"TASA4","Taurus","465.200","5,47","-1,26%"
"MELK3","Melnick","459.600","3,62","+0,84%"
"MTRE3","Mitre Realty","436.700","3,69","+0,54%"
"LIGT3","Light","417.500","4,51","+0,22%"
"WIZC3","Wiz Soluções","404.000","9,33","-0,32%"
"PNVL3","Dimed","389.900","12,50","-0,64%"
"KLBN3","Klabin","387.900","3,73","+0,00%"
"BRBI11","BR Partners","379.700","17,66","-2,38%"
"AMAR3","Lojas Marisa","370.100","0,99","-1,98%"
"LAVV3","Lavvi Incorporadora","365.500","16,04","+0,06%"
"OPCT3","OceanPact","358.500","8,84","+0,68%"
"BMOB3","Bemobi","344.400","23,06","+0,17%"
"ABCB4","Banco ABC Brasil","344.000","24,06","+0,54%"
"OBTC3","CURSINHO INTERGRAUS S.A","333.200","8,77","-2,66%"
"BMGB4","Banco BMG","319.600","5,09","+0,39%"
"RANI3","Irani","319.200","8,86","+0,45%"
"AGRO3","BrasilAgro","301.700","20,70","+3,19%"
"GFSA3","Gafisa","298.400","3,91","-4,17%"
"ALLD3","Allied","293.200","8,32","-0,60%"
"ORVR3","Orizon","290.700","68,77","+0,48%"
"PINE4","Banco Pine","290.400","13,20","-2,22%"
"LUPA3","Lupatech","282.800","1,24","+4,20%"
"VVEO3","Viveo","279.900","1,35","-0,74%"
"TRIS3","Trisul","274.000","6,12","+0,00%"
"FIQE3","Unifique","270.300","4,94","-0,20%"
"MDIA3","M. Dias Branco","264.000","24,39","-0,53%"
"HBRE3","HBR Realty","257.300","3,47","-3,34%"
"CYRE4","Cyrela","248.900","24,06","+2,73%"
"LOGG3","LOG CP","243.900","25,73","-1,15%"
"CSED3","Cruzeiro do Sul Educacional","230.000","6,10","+0,16%"
"DEXP3","Dexxos","225.200","7,24","-2,16%"
"TGMA3","Tegma","196.900","35,45","+1,49%"
"SEQL3","Sequoia Logística","188.600","1,99","-6,57%"
"FRAS3","Fras-le","183.800","23,73","-0,46%"
"PRNR3","Priner","183.100","16,03","+0,63%"
"LEVE3","Mahle Metal Leve","182.000","33,65","-0,80%"
"VLID3","Valid","181.500","20,75","-0,62%"
"VITT3","Vittia","169.400","4,38","-1,57%"
"PTNT4","Pettenati","159.100","8,10","+3,18%"
"PTBL3","Portobello","153.400","3,18","-1,85%"
"BIOM3","Biomm","145.100","6,00","-12,41%"
"LPSB3","Lopes","143.100","1,55","-0,64%"
"ROMI3","Indústrias ROMI","138.500","7,94","+0,38%"
"VTRU3","VITRUBREPCOM","136.700","15,08","+1,34%"
"ENJU3","Enjoei","131.100","1,03","+0,00%"
"RNEW3","Renova Energia","129.800","0,94","-6,00%"
"BRST3","Brisanet","127.500","3,38","+2,42%"
"ITSA3","Itaúsa","115.900","12,22","+0,58%"
"SAPR3","Sanepar","115.000","9,76","-0,61%"
"ALPK3","Estapar","111.000","4,47","-0,67%"
"BRAP3","Bradespar","110.200","19,64","+1,45%"
"ETER3","Eternit","99.300","3,93","-1,26%"
"CMIG3","Cemig","96.000","14,37","+1,05%"
"SANB4","Banco Santander","92.300","17,14","+1,66%"
"TAEE4","Taesa","90.800","13,42","+0,90%"
"PFRM3","Profarma","73.900","8,11","+1,38%"
"TECN3","Technos","71.000","7,33","+0,00%"
"SANB3","Banco Santander","66.900","16,41","+2,63%"
"AMOB3","Automob","55.800","13,20","+1,54%"
"FICT3","Fictor Alimentos","53.700","1,59","-0,62%"
"AALR3","Alliança","53.400","4,33","-0,46%"
"MATD3","Mater Dei","48.500","5,22","-2,06%"
"SHOW3","Time For Fun","45.100","6,65","+7,61%"
"CSUD3","CSU Cardsystem","42.300","17,45","-0,29%"
"TAEE3","Taesa","41.200","13,20","-0,08%"
"ENGI4","Energisa","40.400","8,63","-0,12%"
"GOAU3","Metalúrgica Gerdau","38.000","9,38","+0,64%"
"DMVF3","D1000 Varejo Farma","37.100","7,00","+0,00%"
"AERI3","Aeris Energy","36.600","3,17","+0,63%"
"TPIS3","Triunfo","36.500","5,03","-2,52%"
"VSTE3","LE LIS BLANC","33.600","3,88","-1,52%"
"AVLL3","Alphaville","31.600","0,82","-4,65%"
"IGTI3","Jereissati Participações","30.300","3,26","+0,31%"
"IGTI3","Iguatemi","30.300","3,26","+0,31%"
"BIED3","Bioma","29.300","5,25","+2,94%"
"LOGN3","Log-In","28.900","32,30","+0,94%"
"GGBR3","Gerdau","27.600","18,67","+0,59%"
"VIVR3","Viver","26.700","0,59","-1,67%"
"BMEB4","Banco Mercantil do Brasil","26.500","57,71","-1,85%"
"EUCA4","Eucatex","26.500","19,10","+0,42%"
"LAND3","Terra Santa","24.800","8,55","+0,12%"
"MEAL3","IMC Alimentação","24.400","1,24","+1,64%"
"NGRD3","Neogrid","23.200","27,86","+0,58%"
"WDCN3","WDC Networks","21.800","2,75","+1,48%"
"MNPR3","Minupar","21.200","4,24","+0,00%"
"UNIP3","Unipar","20.100","57,24","-1,11%"
"RAPT3","Randon","19.000","6,53","+0,00%"
"TCSA3","Tecnisa","18.700","1,22","-0,81%"
"RNEW4","Renova Energia","16.900","0,87","-2,25%"
"COCE5","Coelce","16.800","32,40","-0,34%"
"SCAR3","São Carlos","16.800","13,62","+0,15%"
"TASA3","Taurus","15.800","5,62","+0,72%"
"LUXM4","Trevisa","15.100","4,18","-6,07%"
"AGXY3","AgroGalaxy","15.100","4,04","+1,00%"
"PDGR3","PDG Realty","13.600","1,25","+0,00%"
"PTNT3","Pettenati","13.300","8,29","-2,01%"
"CGRA4","Grazziotin","13.100","26,21","-0,68%"
"BAZA3","Banco da Amazônia","11.800","76,16","+0,03%"
"AZEV11","Azevedo & Travassos","10.300","0,06","-14,29%"
"BRKM3","Braskem","10.200","8,20","-1,91%"
"PDTC3","Padtec","10.200","1,37","-1,44%"
"CAMB3","Cambuci","10.100","9,25","-0,11%"
"UCAS3","Unicasa","9.900","1,37","+1,48%"
"CEBR3","CEB","9.700","29,37","+3,20%"
"ENGI3","Energisa","9.500","12,16","-1,14%"
"BEES4","Banestes","9.000","8,14","-0,61%"
"INEP3","Inepar","9.000","1,40","-0,71%"
"EMAE4","EMAE","7.700","45,00","+3,45%"
"TRAD3","Traders Club","7.300","3,65","-0,54%"
"DOTZ3","Dotz","7.100","4,36","+0,00%"
"BPAC3","Banco BTG Pactual","5.900","38,39","-1,23%"
"EALT4","Electro Aço Altona","5.500","13,91","-1,28%"
"EPAR3","Embpar Participações","5.400","3,92","-0,76%"
"BEES3","Banestes","5.300","8,23","+0,00%"
"MTSA4","Metisa","5.200","48,50","+4,44%"
"BGIP4","Banese","5.100","37,00","+2,72%"
"CEBR6","CEB","4.800","29,74","+1,16%"
"RVEE3","REVEE S.A.","4.300","1,82","-13,74%"
"RVEE3","REVEE","4.300","1,82","-13,74%"
"FHER3","Fertilizantes Heringer","4.200","4,22","-1,86%"
"ALUP4","Alupar","4.100","10,71","+1,23%"
"BRSR3","Banrisul","4.000","18,05","+2,44%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","3.800","2,04","+0,00%"
"ARND3","Arandu","3.800","0,87","-1,14%"
"OIBR4","Oi","3.600","1,22","+6,09%"
"DEXP4","Dexxos","3.400","7,25","-1,36%"
"CEBR5","CEB","3.300","27,49","+0,37%"
"WHRL4","Whirlpool","3.200","4,57","+0,00%"
"BPAC5","Banco BTG Pactual","3.100","10,82","+2,08%"
"HAGA4","Haga","2.600","1,15","-3,36%"
"FIEI3","Fica","2.500","14,99","+4,31%"
"PPLA11","PPLA","2.305","0,61","-6,15%"
"BSLI3","Banco de Brasília","2.300","6,76","-0,29%"
"ALPA3","Alpargatas","2.200","10,30","+0,19%"
"INEP4","Inepar","2.200","1,16","+0,00%"
"CTAX3","Contax","2.200","0,95","+3,26%"
"EKTR4","Elektro","2.100","36,51","-5,05%"
"CRPG5","Tronox Pigmentos","2.100","18,74","-1,32%"
"EQPA3","Equatorial Energia Pará","1.800","6,21","+0,65%"
"GEPA4","Rio Paranapanema Energia","1.700","34,00","-3,00%"
"OFSA3","Ourofino Saúde Animal","1.700","23,02","-3,32%"
"DOHL4","Döhler","1.700","3,72","+0,27%"
"ISAE3","ISA Energia","1.600","34,30","+0,38%"
"WEST3","Westwing","1.500","5,38","-0,37%"
"NUTR3","Nutriplant","1.400","2,70","-1,10%"
"RSUL4","Metalúrgica Riosulense","1.300","63,30","+0,32%"
"BALM4","Baumer","1.300","17,72","-0,28%"
"PINE3","Banco Pine","1.300","13,05","-0,53%"
"MGEL4","Mangels","1.300","5,77","-3,03%"
"ALUP3","Alupar","1.100","11,70","+0,00%"
"CEDO4","Cedro Têxtil","1.100","9,41","-0,95%"
"BMEB3","Banco Mercantil do Brasil","1.000","47,40","+0,85%"
"BIOM11","Biomm","1.000","2,70","-3,57%"
"CTKA4","Karsten","900","41,69","+0,48%"
"WHRL3","Whirlpool","900","4,28","-0,70%"
"BOBR4","Bombril","900","1,27","+0,79%"
"CGRA3","Grazziotin","700","26,90","+0,00%"
"EQPA7","Equatorial Energia Pará","700","5,59","-18,39%"
"CLSC4","Celesc","600","134,00","+0,77%"
"CEEB3","COELBA","600","43,76","-0,55%"
"MNDL3","Mundial","600","16,20","+1,31%"
"CGAS5","Comgás","500","132,24","-0,71%"
"EQMA3B","Equatorial Maranhão","500","30,50","+0,00%"
"HOOT4","Hotéis Othon","500","6,62","+0,00%"
"HAGA3","Haga","500","1,95","+0,00%"
"RSID3","Rossi Residencial","500","1,86","+0,00%"
"IGTI4","Jereissati Participações","400","11,80","-0,84%"
"IGTI4","Iguatemi","400","11,80","-0,84%"
"TELB4","Telebras","400","7,85","+1,29%"
"BSLI4","Banco de Brasília","400","7,20","+0,98%"
"REDE3","Rede Energia","400","6,16","-0,48%"
"CTSA4","Santanense","400","2,11","+0,00%"
"CGAS3","Comgás","300","128,50","-0,39%"
"MOAR3","Monteiro Aranha","300","60,00","+3,27%"
"BMIN4","Banco Mercantil de Investimentos","300","19,00","+0,53%"
"TELB3","Telebras","300","10,75","-0,83%"
"AFLT3","Afluente T","300","7,38","+0,96%"
"BDLL4","Bardella","300","6,60","+8,20%"
"JFEN3","João Fortes","300","1,00","-1,96%"
"ENMT3","Energisa MT","200","50,60","-0,37%"
"WLMM4","WLM","200","20,20","-0,74%"
"BRSR5","Banrisul","200","16,76","+10,26%"
"FESA3","Ferbasa","200","11,68","-0,60%"
"CEED3","CEEE D","200","8,95","+0,00%"
"RPMG3","Refinaria de Manguinhos","200","2,08","-3,26%"
"OSXB3","OSX Brasil","200","1,80","-0,55%"
"BMKS3","Monark","105","383,99","+0,57%"
"FRIO3","Metalfrio","100","183,92","-12,42%"
"UNIP5","Unipar","100","64,80","+7,48%"
"GEPA3","Rio Paranapanema Energia","100","33,00","+0,00%"
"PATI3","Panatlântica","100","30,40","+0,00%"
"GPAR3","CELGPAR","100","28,00","+86,05%"
"EUCA3","Eucatex","100","20,10","+0,20%"
"EQPA5","Equatorial Energia Pará","100","13,60","-20,00%"
"ADMF3","REAG TRUST S.A","100","12,00","+0,00%"
"BDLL3","Bardella","100","7,11","-5,20%"
"NEXP3","Brasil Brokers","100","2,75","-0,36%"
"CTSA3","Santanense","100","2,36","+1,72%"
"PEAB4","Participações Aliança da Bahia","1.100","40,00","+4,71%"
"GSHP3","General Shopping & Outlets","1.100","3,02","-13,71%"
"PEAB3","Participações Aliança da Bahia","300","41,00","+2,50%"
"MWET4","Wetzel","300","8,49","+1,19%"
"SNSY5","Sansuy","200","2,90","-1,69%"
"BNBR3","Banco do Nordeste","100","115,75","-0,22%"
"CLSC3","Celesc","100","107,05","-7,72%"
"SOND5","Sondotécnica","100","65,59","+0,00%"
"BALM3","Baumer","100","30,00","+7,14%"
"PINE11","Banco Pine","100","23,07","-2,29%"
"CBEE3","Ampla Energia","100","10,80","-1,64%"
"ESTR4","Estrela","100","4,90","-5,59%"
"PLAS3","Plascar","5.600","5,14","-1,72%"
"MERC4","Mercantil do Brasil Financeira","3.400","13,75","+11,07%"
"MSPA3","Melhoramentos","2.200","47,00","+1,08%"
"MSPA4","Melhoramentos","1.400","41,00","+3,80%"
"EALT3","Electro Aço Altona","500","14,50","+0,00%"
"PSVM11","PORTO VM","300","4,90","+0,00%"
"NORD3","Nordon","300","3,92","-2,00%"
"COCE3","Coelce","200","48,00","-1,64%"
"TKNO4","Tekno","100","204,50","+0,00%"
"CEGR3","Naturgy (CEG)","100","53,50","-7,76%"
"RPAD5","Alfa Holdings","1.500","6,36","-9,14%"
"BGIP3","Banese","200","42,75","+2,79%"
"BAUH4","Excelsior","100","92,02","-1,37%"
"CRPG6","Tronox Pigmentos","100","18,98","+2,65%"
"DTCY3","Dtcom","100","2,95","+0,00%"
"MAPT4","Cemepe","400","3,50","+0,00%"
"BRKM6","Braskem","100","8,59","+7,38%"
"CEEB5","COELBA","500","36,69","-5,92%"
"SOND3","Sondotécnica","100","38,66","-19,46%"
"CALI3","Adolpho Lindenberg","100","17,25","+7,48%"
"CEDO3","Cedro Têxtil","100","13,99","-0,07%"
"SNSY3","Sansuy","100","11,00","+0,00%"
"RPAD6","Alfa Holdings","100","4,21","-6,44%"
"CALI11","CALI11","100","4,00","+7,53%"
"HBTS5","Habitasul","200","31,91","+0,98%"
"ENMT4","Energisa MT","100","50,51","+0,00%"
"PATI4","Panatlântica","100","31,00","-6,03%"
"HETA4","Hercules","100","5,30","+6,00%"
"MAPT3","Cemepe","100","3,00","+0,00%"
"WLMM3","WLM","100","19,62","-3,82%"
